x0000,y0000
533.191833,1086.
533.28479,1081.
533.377808,1074.
533.470703,1083.
533.56366,1085.
533.656616,1080.
533.749573,1081.
533.842529,1082.
533.935425,1082.
534.02832,1084.
534.121338,1078.
534.214233,1078.
534.307129,1075.
534.400024,1081.
534.492981,1089.
534.585876,1081.
534.678711,1076.
534.771606,1077.
534.864563,1087.
534.957397,1075.
535.050293,1074.
535.143127,1075.
535.236084,1078.
535.328918,1074.
535.421753,1072.
535.514587,1080.
535.607483,1085.
535.700317,1080.
535.793152,1074.
535.885986,1078.
535.978821,1079.
536.071716,1080.
536.164429,1093.
536.257263,1096.
536.350037,1091.
536.442932,1093.
536.535706,1105.
536.628479,1119.
536.721313,1132.
536.814148,1148.
536.906921,1148.
536.999695,1153.
537.092468,1149.
537.185242,1164.
537.278015,1164.
537.370789,1177.
537.463562,1170.
537.556274,1197.
537.649048,1182.
537.74176,1203.
537.834473,1205.
537.927246,1231.
538.02002,1220.
538.112732,1205.
538.205444,1248.
538.298157,1233.
538.390869,1275.
538.483521,1268.
538.576233,1314.
538.668945,1347.
538.761658,1390.
538.85437,1501.
538.94696,1680.
539.039673,1927.
539.132385,2326.
539.225037,2899.
539.317688,3466.
539.410339,4162.
539.503052,4662.
539.595642,4967.
539.688293,5237.
539.780945,5410.
539.873596,5410.
539.966187,5307.
540.058838,5327.
540.151489,5170.
540.24408,5302.
540.33667,5219.
540.429321,5322.
540.521912,5201.
540.614502,5352.
540.707092,5283.
540.799683,5289.
540.892212,5310.
540.984863,5213.
541.077454,5296.
541.169983,5103.
541.262512,5126.
541.355103,5185.
541.447693,5084.
541.540161,5041.
541.632751,5103.
541.72522,5220.
541.81781,5230.
541.910339,5251.
542.002808,5193.
542.095337,5249.
542.187866,5188.
542.280396,5252.
542.372925,5150.
542.465332,5232.
542.557922,5215.
542.65033,5228.
542.742859,5228.
542.835266,5245.
542.927856,5214.
543.020264,5282.
543.112732,5302.
543.205139,5286.
543.297668,5223.
543.390076,5334.
543.482544,5270.
543.574951,5374.
543.667419,5473.
543.759827,5507.
543.852295,5362.
543.944641,5347.
544.037109,5501.
544.129517,5478.
544.221863,5470.
544.314331,5356.
544.406677,5380.
544.499084,5390.
544.591492,5381.
544.683838,5350.
544.776184,5333.
544.868591,5379.
544.960938,5362.
545.053284,5341.
545.145569,5408.
545.238037,5391.
545.330322,5297.
